anon_customer,FirstPurchaseDate,Country,FirstPurchaseYear,FirstPurchaseMonth,FirstPurchaseYearMonth,Continent
Customer-1,2010-12-01 08:26:00,United Kingdom,2010,12,2010-12,Europe
Customer-10,2010-12-01 09:59:00,United Kingdom,2010,12,2010-12,Europe
Customer-100,2010-12-02 10:45:00,United Kingdom,2010,12,2010-12,Europe
Customer-1000,2011-01-14 09:20:00,France,2011,1,2011-01,Europe
Customer-1001,2011-01-14 09:52:00,United Kingdom,2011,1,2011-01,Europe
Customer-1002,2011-01-14 10:06:00,Germany,2011,1,2011-01,Europe
Customer-1003,2011-01-14 10:10:00,United Kingdom,2011,1,2011-01,Europe
Customer-1004,2011-01-14 10:31:00,United Kingdom,2011,1,2011-01,Europe
Customer-1005,2011-01-14 10:42:00,France,2011,1,2011-01,Europe
Customer-1006,2011-01-14 11:05:00,United Kingdom,2011,1,2011-01,Europe
Customer-1007,2011-01-14 12:22:00,United Kingdom,2011,1,2011-01,Europe
Customer-1008,2011-01-14 12:23:00,United Kingdom,2011,1,2011-01,Europe
Customer-1009,2011-01-14 13:28:00,United Kingdom,2011,1,2011-01,Europe
Customer-101,2010-12-02 10:53:00,United Kingdom,2010,12,2010-12,Europe
Customer-1010,2011-01-14 13:42:00,United Kingdom,2011,1,2011-01,Europe
Customer-1011,2011-01-14 14:11:00,EIRE,2011,1,2011-01,Europe
Customer-1012,2011-01-16 10:56:00,United Kingdom,2011,1,2011-01,Europe
Customer-1013,2011-01-16 11:07:00,United Kingdom,2011,1,2011-01,Europe
Customer-1014,2011-01-16 11:08:00,United Kingdom,2011,1,2011-01,Europe
Customer-1015,2011-01-16 11:49:00,United Kingdom,2011,1,2011-01,Europe
Customer-1016,2011-01-16 12:35:00,United Kingdom,2011,1,2011-01,Europe
Customer-1017,2011-01-16 13:18:00,United Kingdom,2011,1,2011-01,Europe
Customer-1018,2011-01-16 13:41:00,United Kingdom,2011,1,2011-01,Europe
Customer-1019,2011-01-16 14:36:00,United Kingdom,2011,1,2011-01,Europe
Customer-102,2010-12-02 11:02:00,United Kingdom,2010,12,2010-12,Europe
Customer-1020,2011-01-16 15:30:00,United Kingdom,2011,1,2011-01,Europe
Customer-1021,2011-01-16 15:50:00,United Kingdom,2011,1,2011-01,Europe
Customer-1022,2011-01-16 16:10:00,United Kingdom,2011,1,2011-01,Europe
Customer-1023,2011-01-16 16:10:00,United Kingdom,2011,1,2011-01,Europe
Customer-1024,2011-01-16 16:23:00,United Kingdom,2011,1,2011-01,Europe
Customer-1025,2011-01-16 16:25:00,United Kingdom,2011,1,2011-01,Europe
Customer-1026,2011-01-17 11:01:00,Germany,2011,1,2011-01,Europe
Customer-1027,2011-01-17 11:09:00,United Kingdom,2011,1,2011-01,Europe
Customer-1028,2011-01-17 11:12:00,Australia,2011,1,2011-01,Oceania
Customer-1029,2011-01-17 11:17:00,United Kingdom,2011,1,2011-01,Europe
Customer-103,2010-12-02 11:20:00,United Kingdom,2010,12,2010-12,Europe
Customer-1030,2011-01-17 11:24:00,United Kingdom,2011,1,2011-01,Europe
Customer-1031,2011-01-17 11:46:00,Germany,2011,1,2011-01,Europe
Customer-1032,2011-01-17 11:57:00,United Kingdom,2011,1,2011-01,Europe
Customer-1033,2011-01-17 11:59:00,United Kingdom,2011,1,2011-01,Europe
Customer-1034,2011-01-17 12:34:00,United Kingdom,2011,1,2011-01,Europe
Customer-1035,2011-01-17 12:45:00,United Kingdom,2011,1,2011-01,Europe
Customer-1036,2011-01-17 14:40:00,United Kingdom,2011,1,2011-01,Europe
Customer-1037,2011-01-17 14:49:00,United Kingdom,2011,1,2011-01,Europe
Customer-1038,2011-01-17 15:11:00,United Kingdom,2011,1,2011-01,Europe
Customer-1039,2011-01-17 15:19:00,United Kingdom,2011,1,2011-01,Europe
Customer-104,2010-12-02 11:21:00,United Kingdom,2010,12,2010-12,Europe
Customer-1040,2011-01-17 16:14:00,United Kingdom,2011,1,2011-01,Europe
Customer-1041,2011-01-17 16:14:00,United Kingdom,2011,1,2011-01,Europe
Customer-1042,2011-01-18 08:46:00,United Kingdom,2011,1,2011-01,Europe
Customer-1043,2011-01-18 08:53:00,United Kingdom,2011,1,2011-01,Europe
Customer-1044,2011-01-18 09:50:00,Portugal,2011,1,2011-01,Europe
Customer-1045,2011-01-18 10:28:00,United Kingdom,2011,1,2011-01,Europe
Customer-1046,2011-01-18 10:58:00,United Kingdom,2011,1,2011-01,Europe
